country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Senegal,Unemployment rate by sex and age,Male,25+,Adults,6.633,6.141,3.651,3.873,2.647,2.711,3.25,3.238,2.869,2.822,2.72
Serbia,Unemployment rate by sex and age,Male,25+,Adults,15.871,14.768,13.052,11.431,10.589,8.5,7.393,8.047,7.268,6.656,5.552
Sierra Leone,Unemployment rate by sex and age,Male,25+,Adults,4.028,4.471,4.591,4.483,4.037,4.057,4.605,4.745,4.146,4.054,3.976
Singapore,Unemployment rate by sex and age,Male,25+,Adults,3.209,3.254,3.545,3.749,3.189,2.71,3.603,4.168,3.203,2.891,3.146
Slovakia,Unemployment rate by sex and age,Male,25+,Adults,8.857,8.901,7.757,7.018,5.446,4.957,5.546,5.789,5.045,4.623,4.546
Slovenia,Unemployment rate by sex and age,Male,25+,Adults,8.148,7.292,6.87,5.41,4.296,3.744,3.846,3.723,3.383,3.057,2.769
Solomon Is.,Unemployment rate by sex and age,Male,25+,Adults,0.581,0.587,0.587,0.577,0.572,0.597,0.824,0.868,1.176,1.186,1.159
Somalia,Unemployment rate by sex and age,Male,25+,Adults,13.296,12.901,12.81,12.956,13.183,13.239,13.827,14.18,13.584,13.534,13.491
South Africa,Unemployment rate by sex and age,Male,25+,Adults,17.863,18.206,19.46,19.925,20.292,21.493,21.217,25.298,24.776,23.701,23.88
South America,Unemployment rate by sex and age,Male,25+,Adults,3.955,4.618,5.743,6.189,6.09,6.085,8.398,7.106,5.119,4.725,4.572
S. Sudan,Unemployment rate by sex and age,Male,25+,Adults,7.902,7.811,8.359,8.534,8.283,7.907,9.067,9.034,7.412,7.062,6.844
Spain,Unemployment rate by sex and age,Male,25+,Adults,21.388,18.78,16.334,13.969,12.174,11.091,12.25,11.538,9.935,9.197,9.238
Sri Lanka,Unemployment rate by sex and age,Male,25+,Adults,1.389,1.23,1.063,1.272,1.263,1.549,1.754,1.825,2.299,2.439,2.329
Sudan,Unemployment rate by sex and age,Male,25+,Adults,8.679,8.344,8.356,8.475,8.616,8.795,9.82,9.999,8.873,11.471,11.301
Suriname,Unemployment rate by sex and age,Male,25+,Adults,2.774,3.532,3.235,3.206,3.111,3.022,3.709,3.687,3.397,3.275,3.13
Sweden,Unemployment rate by sex and age,Male,25+,Adults,5.866,5.664,5.574,5.415,4.961,4.967,6.27,6.354,5.176,5.655,6.526
Switzerland,Unemployment rate by sex and age,Male,25+,Adults,4.105,4.06,4.285,4.06,3.809,3.489,4.08,4.391,3.617,3.198,3.184
Syria,Unemployment rate by sex and age,Male,25+,Adults,6.949,6.604,6.239,5.997,5.818,5.644,6.834,6.788,5.906,5.677,5.57
